-79.834 0.00059
-79.224 0.00067
-78.613 0.00055
-78.003 0.00050
-77.393 0.00051
-76.782 0.00059
-76.172 0.00048
-75.562 0.00062
-74.951 0.00075
-74.341 0.00067
-73.730 0.00064
-73.120 0.00056
-72.510 0.00062
-71.899 0.00045
-71.289 0.00052
-70.679 0.00079
-70.068 0.00067
-69.458 0.00051
-68.848 0.00053
-68.237 0.00062
-67.627 0.00051
-67.017 0.00036
-66.406 0.00053
-65.796 0.00077
-65.186 0.00055
-64.575 0.00054
-63.965 0.00092
-63.354 0.00056
-62.744 0.00071
-62.134 0.00066
-61.523 0.00090
-60.913 0.00048
-60.303 0.00060
-59.692 0.00075
-59.082 0.00082
-58.472 0.00074
-57.861 0.00090
-57.251 0.00084
-56.641 0.00082
-56.030 0.00080
-55.420 0.00072
-54.810 0.00061
-54.199 0.00067
-53.589 0.00081
-52.979 0.00087
-52.368 0.00112
-51.758 0.00072
-51.147 0.00080
-50.537 0.00090
-49.927 0.00079
-49.316 0.00087
-48.706 0.00091
-48.096 0.00099
-47.485 0.00083
-46.875 0.00101
-46.265 0.00088
-45.654 0.00118
-45.044 0.00081
-44.434 0.00096
-43.823 0.00107
-43.213 0.00103
-42.603 0.00123
-41.992 0.00109
-41.382 0.00111
-40.771 0.00106
-40.161 0.00099
-39.551 0.00129
-38.940 0.00125
-38.330 0.00132
-37.720 0.00113
-37.109 0.00130
-36.499 0.00157
-35.889 0.00119
-35.278 0.00140
-34.668 0.00123
-34.058 0.00132
-33.447 0.00150
-32.837 0.00100
-32.227 0.00150
-31.616 0.00157
-31.006 0.00171
-30.396 0.00150
-29.785 0.00161
-29.175 0.00154
-28.564 0.00161
-27.954 0.00172
-27.344 0.00206
-26.733 0.00180
-26.123 0.00154
-25.513 0.00183
-24.902 0.00186
-24.292 0.00196
-23.682 0.00194
-23.071 0.00203
-22.461 0.00210
-21.851 0.00221
-21.240 0.00215
-20.630 0.00211
-20.020 0.00228
-19.409 0.00241
-18.799 0.00265
-18.188 0.00257
-17.578 0.00266
-16.968 0.00296
-16.357 0.00309
-15.747 0.00294
-15.137 0.00324
-14.526 0.00304
-13.916 0.00375
-13.306 0.00377
-12.695 0.00426
-12.085 0.00389
-11.475 0.00412
-10.864 0.00496
-10.254 0.00518
-9.644 0.00565
-9.033 0.00618
-8.423 0.00685
-7.812 0.00708
-7.202 0.00817
-6.592 0.00893
-5.981 0.00851
-5.371 0.00943
-4.761 0.01005
-4.150 0.01129
-3.540 0.01316
-2.930 0.01538
-2.319 0.01777
-1.709 0.02123
-1.099 0.02654
-0.488 0.02905
0.122 0.02310
0.732 0.01916
1.343 0.01441
1.953 0.01159
2.563 0.00965
3.174 0.00874
3.784 0.00759
4.395 0.00684
5.005 0.00609
5.615 0.00585
6.226 0.00526
6.836 0.00482
7.446 0.00449
8.057 0.00442
8.667 0.00405
9.277 0.00352
9.888 0.00354
10.498 0.00332
11.108 0.00295
11.719 0.00288
12.329 0.00303
12.939 0.00278
13.550 0.00283
14.160 0.00256
14.771 0.00259
15.381 0.00216
15.991 0.00231
16.602 0.00226
17.212 0.00224
17.822 0.00203
18.433 0.00202
19.043 0.00208
19.653 0.00191
20.264 0.00164
20.874 0.00157
21.484 0.00169
22.095 0.00196
22.705 0.00173
23.315 0.00174
23.926 0.00154
24.536 0.00160
25.146 0.00157
25.757 0.00128
26.367 0.00150
26.978 0.00152
27.588 0.00158
28.198 0.00109
28.809 0.00140
29.419 0.00125
30.029 0.00119
30.640 0.00139
31.250 0.00109
31.860 0.00103
32.471 0.00146
33.081 0.00178
33.691 0.00109
34.302 0.00114
34.912 0.00111
35.522 0.00137
36.133 0.00102
36.743 0.00116
37.354 0.00133
37.964 0.00125
38.574 0.00086
39.185 0.00089
39.795 0.00063
40.405 0.00121
41.016 0.00095
41.626 0.00085
42.236 0.00099
42.847 0.00090
43.457 0.00081
44.067 0.00090
44.678 0.00084
45.288 0.00104
45.898 0.00090
46.509 0.00091
47.119 0.00100
47.729 0.00089
48.340 0.00067
48.950 0.00088
49.561 0.00074
50.171 0.00074
50.781 0.00085
51.392 0.00069
52.002 0.00078
52.612 0.00092
53.223 0.00080
53.833 0.00094
54.443 0.00091
55.054 0.00079
55.664 0.00091
56.274 0.00083
56.885 0.00078
57.495 0.00091
58.105 0.00053
58.716 0.00049
59.326 0.00073
59.937 0.00092
60.547 0.00068
61.157 0.00076
61.768 0.00071
62.378 0.00075
62.988 0.00075
63.599 0.00047
64.209 0.00070
64.819 0.00057
65.430 0.00094
66.040 0.00072
66.650 0.00072
67.261 0.00076
67.871 0.00048
68.481 0.00052
69.092 0.00096
69.702 0.00069
70.312 0.00043
70.923 0.00059
71.533 0.00066
72.144 0.00055
72.754 0.00068
73.364 0.00083
73.975 0.00071
74.585 0.00053
75.195 0.00058
75.806 0.00065
76.416 0.00077
77.026 0.00041
77.637 0.00057
78.247 0.00066
78.857 0.00042
79.468 0.00024
