Voltage U1	Current IA	Current IA'
U1/V	IA/nA	IA/nA

7,93	0,39	0,39
7,96	0,40	0,40
7,98	0,40	0,40
8,00	0,40	0,40
8,03	0,40	0,40
8,05	0,40	0,40
8,08	0,41	0,40
8,10	0,40	0,40
8,13	0,40	0,40
8,15	0,41	0,40
8,18	0,41	0,40
8,20	0,41	0,40
8,22	0,41	0,40
8,25	0,38	0,40
8,27	0,40	0,40
8,30	0,39	0,40
8,32	0,38	0,40
8,35	0,38	0,40
8,37	0,37	0,40
8,40	0,38	0,40
8,42	0,41	0,40
8,44	0,41	0,40
8,47	0,41	0,40
8,49	0,41	0,40
8,52	0,42	0,40
8,54	0,42	0,40
8,57	0,42	0,40
8,59	0,41	0,40
8,62	0,40	0,40
8,64	0,40	0,41
8,66	0,40	0,41
8,69	0,40	0,41
8,71	0,40	0,41
8,74	0,41	0,41
8,76	0,41	0,41
8,79	0,41	0,41
8,81	0,41	0,41
8,84	0,41	0,41
8,86	0,42	0,41
8,88	0,43	0,41
8,91	0,42	0,41
8,93	0,43	0,41
8,96	0,43	0,41
8,98	0,41	0,41
9,01	0,41	0,41
9,03	0,40	0,41
9,05	0,39	0,41
9,08	0,40	0,41
9,10	0,39	0,41
9,13	0,40	0,41
9,15	0,43	0,41
9,18	0,42	0,41
9,20	0,42	0,41
9,23	0,41	0,41
9,25	0,40	0,41
9,27	0,41	0,41
9,30	0,40	0,41
9,32	0,40	0,41
9,35	0,41	0,41
9,37	0,40	0,41
9,40	0,41	0,41
9,42	0,41	0,41
9,45	0,41	0,41
9,47	0,41	0,41
9,49	0,40	0,40
9,52	0,39	0,40
9,54	0,41	0,40
9,57	0,40	0,40
9,59	0,40	0,40
9,62	0,41	0,40
9,64	0,42	0,40
9,67	0,42	0,40
9,69	0,41	0,40
9,71	0,40	0,40
9,74	0,40	0,40
9,76	0,40	0,40
9,79	0,39	0,40
9,81	0,39	0,40
9,84	0,38	0,40
9,86	0,38	0,40
9,89	0,41	0,40
9,91	0,41	0,40
9,93	0,40	0,40
9,96	0,40	0,40
9,98	0,40	0,40
10,01	0,42	0,40
10,03	0,42	0,40
10,06	0,41	0,40
10,08	0,41	0,40
10,10	0,41	0,40
10,13	0,40	0,40
10,15	0,40	0,40
10,18	0,40	0,40
10,20	0,40	0,40
10,23	0,40	0,40
10,25	0,40	0,40
10,28	0,40	0,40
10,30	0,41	0,40
10,32	0,40	0,40
10,35	0,42	0,40
10,37	0,41	0,40
10,40	0,41	0,40
10,42	0,41	0,40
10,45	0,39	0,40
10,47	0,39	0,39
10,50	0,39	0,39
10,52	0,37	0,39
10,54	0,37	0,39
10,57	0,36	0,39
10,59	0,36	0,39
10,62	0,39	0,39
10,64	0,39	0,39
10,67	0,39	0,39
10,69	0,39	0,39
10,72	0,39	0,39
10,74	0,41	0,39
10,76	0,40	0,39
10,79	0,39	0,40
10,81	0,38	0,40
10,84	0,38	0,40
10,86	0,39	0,40
10,89	0,39	0,40
10,91	0,39	0,40
10,94	0,40	0,40
10,96	0,40	0,40
10,98	0,41	0,40
11,01	0,42	0,40
11,03	0,42	0,40
11,06	0,42	0,40
11,08	0,43	0,40
11,11	0,43	0,40
11,13	0,43	0,41
11,15	0,43	0,41
11,18	0,40	0,41
11,20	0,41	0,41
11,23	0,40	0,41
11,25	0,39	0,41
11,28	0,40	0,41
11,30	0,38	0,41
11,33	0,39	0,41
11,35	0,41	0,41
11,37	0,41	0,41
11,40	0,41	0,41
11,42	0,41	0,41
11,45	0,41	0,41
11,47	0,43	0,41
11,50	0,43	0,41
11,52	0,42	0,41
11,55	0,42	0,42
11,57	0,42	0,42
11,59	0,41	0,42
11,62	0,42	0,42
11,64	0,42	0,42
11,67	0,42	0,42
11,69	0,42	0,42
11,72	0,42	0,42
11,74	0,43	0,42
11,77	0,43	0,42
11,79	0,43	0,43
11,81	0,44	0,43
11,84	0,43	0,43
11,86	0,44	0,43
11,89	0,44	0,43
11,91	0,43	0,43
11,94	0,43	0,43
11,96	0,43	0,43
11,99	0,41	0,43
12,01	0,42	0,43
12,03	0,42	0,43
12,06	0,42	0,43
12,08	0,44	0,44
12,11	0,44	0,44
12,13	0,44	0,44
12,16	0,45	0,44
12,18	0,45	0,44
12,21	0,45	0,44
12,23	0,45	0,44
12,25	0,44	0,44
12,28	0,43	0,44
12,30	0,43	0,44
12,33	0,43	0,44
12,35	0,44	0,44
12,38	0,44	0,44
12,40	0,45	0,44
12,42	0,45	0,44
12,45	0,45	0,44
12,47	0,46	0,44
12,50	0,45	0,44
12,52	0,45	0,44
12,55	0,45	0,44
12,57	0,45	0,44
12,60	0,44	0,44
12,62	0,44	0,44
12,64	0,43	0,44
12,67	0,44	0,44
12,69	0,43	0,44
12,72	0,43	0,44
12,74	0,44	0,44
12,77	0,43	0,44
12,79	0,43	0,44
12,82	0,44	0,44
12,84	0,44	0,44
12,86	0,45	0,44
12,89	0,44	0,44
12,91	0,44	0,44
12,94	0,45	0,44
12,96	0,44	0,44
12,99	0,44	0,44
13,01	0,44	0,44
13,04	0,43	0,44
13,06	0,43	0,44
13,08	0,44	0,44
13,11	0,44	0,44
13,13	0,44	0,44
13,16	0,44	0,44
13,18	0,44	0,44
13,21	0,44	0,44
13,23	0,44	0,44
13,26	0,43	0,44
13,28	0,44	0,44
13,30	0,43	0,43
13,33	0,43	0,43
13,35	0,43	0,43
13,38	0,43	0,44
13,40	0,44	0,44
13,43	0,43	0,44
13,45	0,44	0,43
13,47	0,44	0,43
13,50	0,42	0,43
13,52	0,42	0,43
13,55	0,43	0,43
13,57	0,43	0,43
13,60	0,44	0,43
13,62	0,43	0,43
13,65	0,43	0,43
13,67	0,45	0,43
13,69	0,45	0,43
13,72	0,44	0,43
13,74	0,43	0,43
13,77	0,42	0,43
13,79	0,42	0,43
13,82	0,42	0,43
13,84	0,42	0,43
13,87	0,42	0,43
13,89	0,42	0,43
13,91	0,42	0,43
13,94	0,43	0,42
13,96	0,44	0,42
13,99	0,43	0,42
14,01	0,43	0,42
14,04	0,43	0,42
14,06	0,43	0,42
14,09	0,42	0,42
14,11	0,42	0,42
14,13	0,42	0,42
14,16	0,41	0,42
14,18	0,42	0,42
14,21	0,42	0,41
14,23	0,39	0,41
14,26	0,40	0,41
14,28	0,41	0,41
14,31	0,40	0,41
14,33	0,41	0,41
14,35	0,41	0,41
14,38	0,41	0,41
14,40	0,42	0,41
14,43	0,42	0,41
14,45	0,41	0,41
14,48	0,41	0,41
14,50	0,40	0,41
14,52	0,39	0,41
14,55	0,40	0,40
14,57	0,41	0,40
14,60	0,41	0,40
14,62	0,41	0,40
14,65	0,41	0,40
14,67	0,42	0,40
14,70	0,42	0,40
14,72	0,41	0,40
14,74	0,40	0,40
14,77	0,39	0,40
14,79	0,40	0,40
14,82	0,39	0,40
14,84	0,39	0,40
14,87	0,40	0,40
14,89	0,39	0,40
14,92	0,39	0,40
14,94	0,40	0,40
14,96	0,38	0,40
14,99	0,38	0,40
15,01	0,38	0,40
15,04	0,38	0,40
15,06	0,39	0,40
15,09	0,39	0,40
15,11	0,39	0,40
15,14	0,41	0,40
15,16	0,41	0,40
15,18	0,41	0,40
15,21	0,42	0,40
15,23	0,41	0,40
15,26	0,41	0,41
15,28	0,42	0,41
15,31	0,42	0,41
15,33	0,42	0,41
15,36	0,42	0,41
15,38	0,41	0,41
15,40	0,42	0,41
15,43	0,43	0,41
15,45	0,42	0,42
15,48	0,42	0,42
15,50	0,41	0,42
15,53	0,41	0,42
15,55	0,42	0,42
15,57	0,42	0,42
15,60	0,42	0,42
15,62	0,42	0,42
15,65	0,42	0,42
15,67	0,42	0,42
15,70	0,42	0,42
15,72	0,41	0,42
15,75	0,41	0,42
15,77	0,41	0,42
15,79	0,41	0,42
15,82	0,41	0,42
15,84	0,41	0,43
15,87	0,42	0,43
15,89	0,42	0,43
15,92	0,41	0,43
15,94	0,42	0,43
15,97	0,41	0,43
15,99	0,42	0,43
16,01	0,43	0,43
16,04	0,44	0,43
16,06	0,45	0,43
16,09	0,45	0,44
16,11	0,46	0,44
16,14	0,47	0,44
16,16	0,47	0,44
16,19	0,46	0,44
16,21	0,46	0,44
16,23	0,44	0,45
16,26	0,45	0,45
16,28	0,44	0,45
16,31	0,44	0,45
16,33	0,44	0,45
16,36	0,44	0,46
16,38	0,44	0,46
16,41	0,46	0,46
16,43	0,45	0,46
16,45	0,45	0,46
16,48	0,45	0,46
16,50	0,45	0,46
16,53	0,46	0,47
16,55	0,46	0,47
16,58	0,46	0,47
16,60	0,47	0,47
16,63	0,48	0,48
16,65	0,49	0,48
16,67	0,49	0,48
16,70	0,48	0,49
16,72	0,48	0,49
16,75	0,49	0,49
16,77	0,50	0,49
16,80	0,50	0,49
16,82	0,50	0,50
16,84	0,50	0,50
16,87	0,53	0,50
16,89	0,53	0,50
16,92	0,52	0,50
16,94	0,52	0,51
16,97	0,51	0,51
16,99	0,51	0,51
17,02	0,51	0,51
17,04	0,51	0,51
17,06	0,51	0,51
17,09	0,51	0,51
17,11	0,50	0,51
17,14	0,51	0,51
17,16	0,51	0,51
17,19	0,51	0,51
17,21	0,51	0,51
17,24	0,51	0,51
17,26	0,51	0,51
17,28	0,51	0,51
17,31	0,50	0,51
17,33	0,51	0,51
17,36	0,50	0,51
17,38	0,50	0,51
17,41	0,50	0,51
17,43	0,49	0,51
17,46	0,49	0,50
17,48	0,50	0,50
17,50	0,50	0,50
17,53	0,51	0,50
17,55	0,50	0,50
17,58	0,50	0,50
17,60	0,52	0,50
17,63	0,52	0,50
17,65	0,50	0,50
17,68	0,51	0,50
17,70	0,49	0,50
17,72	0,50	0,50
17,75	0,50	0,50
17,77	0,49	0,50
17,80	0,50	0,50
17,82	0,49	0,50
17,85	0,49	0,50
17,87	0,50	0,49
17,89	0,49	0,49
17,92	0,49	0,49
17,94	0,49	0,49
17,97	0,49	0,49
17,99	0,49	0,49
18,02	0,48	0,49
18,04	0,49	0,49
18,07	0,49	0,49
18,09	0,50	0,48
18,11	0,49	0,48
18,14	0,49	0,48
18,16	0,48	0,48
18,19	0,48	0,48
18,21	0,49	0,48
18,24	0,48	0,48
18,26	0,47	0,47
18,29	0,47	0,47
18,31	0,46	0,47
18,33	0,48	0,47
18,36	0,48	0,47
18,38	0,47	0,47
18,41	0,46	0,47
18,43	0,46	0,46
18,46	0,47	0,46
18,48	0,46	0,46
18,51	0,46	0,46
18,53	0,45	0,46
18,55	0,44	0,45
18,58	0,44	0,45
18,60	0,45	0,45
18,63	0,44	0,45
18,65	0,45	0,45
18,68	0,44	0,44
18,70	0,44	0,44
18,73	0,44	0,44
18,75	0,44	0,44
18,77	0,44	0,44
18,80	0,44	0,44
18,82	0,43	0,44
18,85	0,43	0,43
18,87	0,43	0,43
18,90	0,42	0,43
18,92	0,41	0,43
18,94	0,42	0,43
18,97	0,42	0,43
18,99	0,43	0,42
19,02	0,42	0,42
19,04	0,42	0,42
19,07	0,44	0,42
19,09	0,44	0,42
19,12	0,43	0,42
19,14	0,42	0,42
19,16	0,41	0,42
19,19	0,41	0,42
19,21	0,41	0,42
19,24	0,39	0,42
19,26	0,40	0,42
19,29	0,39	0,42
19,31	0,40	0,42
19,34	0,41	0,41
19,36	0,41	0,41
19,38	0,41	0,41
19,41	0,42	0,41
19,43	0,42	0,41
19,46	0,42	0,41
19,48	0,42	0,41
19,51	0,42	0,41
19,53	0,42	0,41
19,56	0,41	0,42
19,58	0,41	0,42
19,60	0,41	0,42
19,63	0,42	0,42
19,65	0,42	0,42
19,68	0,42	0,42
19,70	0,42	0,42
19,73	0,43	0,42
19,75	0,43	0,42
19,78	0,42	0,42
19,80	0,43	0,42
19,82	0,43	0,42
19,85	0,42	0,42
19,87	0,43	0,42
19,90	0,41	0,42
19,92	0,42	0,42
19,95	0,41	0,42
19,97	0,41	0,42
19,99	0,42	0,42
20,02	0,42	0,43
20,04	0,42	0,43
20,07	0,44	0,43
20,09	0,43	0,43
20,12	0,43	0,43
20,14	0,44	0,43
20,17	0,43	0,43
20,19	0,43	0,43
20,21	0,43	0,43
20,24	0,42	0,44
20,26	0,43	0,44
20,29	0,43	0,44
20,31	0,43	0,44
20,34	0,43	0,45
20,36	0,44	0,45
20,39	0,45	0,45
20,41	0,44	0,45
20,43	0,45	0,45
20,46	0,46	0,45
20,48	0,45	0,46
20,51	0,46	0,46
20,53	0,47	0,46
20,56	0,47	0,46
20,58	0,48	0,47
20,61	0,48	0,47
20,63	0,47	0,47
20,65	0,48	0,47
20,68	0,48	0,48
20,70	0,47	0,48
20,73	0,48	0,48
20,75	0,47	0,48
20,78	0,47	0,48
20,80	0,49	0,49
20,83	0,48	0,49
20,85	0,49	0,49
20,87	0,49	0,49
20,90	0,49	0,50
20,92	0,51	0,50
20,95	0,51	0,50
20,97	0,50	0,51
21,00	0,51	0,51
21,02	0,50	0,51
21,05	0,50	0,51
21,07	0,51	0,52
21,09	0,51	0,52
21,12	0,51	0,52
21,14	0,52	0,53
21,17	0,53	0,53
21,19	0,54	0,53
21,22	0,55	0,54
21,24	0,54	0,54
21,26	0,56	0,54
21,29	0,57	0,55
21,31	0,56	0,55
21,34	0,56	0,55
21,36	0,55	0,56
21,39	0,56	0,56
21,41	0,56	0,56
21,44	0,55	0,57
21,46	0,56	0,57
21,48	0,56	0,57
21,51	0,56	0,58
21,53	0,59	0,58
21,56	0,59	0,58
21,58	0,59	0,58
21,61	0,59	0,58
21,63	0,59	0,59
21,66	0,60	0,59
21,68	0,60	0,59
21,70	0,59	0,59
21,73	0,59	0,60
21,75	0,60	0,60
21,78	0,60	0,60
21,80	0,61	0,60
21,83	0,61	0,61
21,85	0,61	0,61
21,88	0,61	0,61
21,90	0,61	0,61
21,92	0,61	0,61
21,95	0,61	0,61
21,97	0,61	0,61
22,00	0,63	0,61
22,02	0,63	0,61
22,05	0,64	0,61
22,07	0,64	0,62
22,10	0,62	0,62
22,12	0,62	0,62
22,14	0,62	0,62
22,17	0,61	0,61
22,19	0,61	0,61
22,22	0,60	0,61
22,24	0,60	0,61
22,27	0,63	0,61
22,29	0,63	0,61
22,31	0,63	0,61
22,34	0,62	0,61
22,36	0,62	0,61
22,39	0,62	0,61
22,41	0,62	0,60
22,44	0,60	0,60
22,46	0,60	0,60
22,49	0,58	0,60
22,51	0,58	0,60
22,53	0,58	0,59
22,56	0,58	0,59
22,58	0,59	0,59
22,61	0,59	0,59
22,63	0,59	0,58
22,66	0,60	0,58
22,68	0,59	0,58
22,71	0,59	0,57
22,73	0,59	0,57
22,75	0,58	0,57
22,78	0,58	0,56
22,80	0,57	0,56
22,83	0,55	0,56
22,85	0,54	0,56
22,88	0,55	0,55
22,90	0,53	0,55
22,93	0,54	0,55
22,95	0,52	0,54
22,97	0,52	0,54
23,00	0,54	0,54
23,02	0,54	0,53
23,05	0,53	0,53
23,07	0,52	0,53
23,10	0,51	0,52
23,12	0,53	0,52
23,15	0,53	0,52
23,17	0,51	0,52
23,19	0,51	0,51
23,22	0,51	0,51
23,24	0,51	0,51
23,27	0,51	0,51
23,29	0,51	0,51
23,32	0,50	0,50
23,34	0,50	0,50
23,36	0,49	0,50
23,39	0,50	0,49
23,41	0,50	0,49
23,44	0,49	0,49
23,46	0,49	0,49
23,49	0,49	0,48
23,51	0,49	0,48
23,54	0,49	0,48
23,56	0,47	0,48
23,58	0,47	0,47
23,61	0,47	0,47
23,63	0,45	0,47
23,66	0,45	0,47
23,68	0,44	0,46
23,71	0,44	0,46
23,73	0,46	0,46
23,76	0,46	0,46
23,78	0,45	0,46
23,80	0,45	0,45
23,83	0,45	0,45
23,85	0,46	0,45
23,88	0,46	0,45
23,90	0,45	0,45
23,93	0,45	0,45
23,95	0,44	0,45
23,98	0,44	0,45
24,00	0,45	0,44
24,02	0,44	0,44
24,05	0,44	0,44
24,07	0,43	0,44
24,10	0,43	0,44
24,12	0,44	0,44
24,15	0,45	0,44
24,17	0,44	0,44
24,20	0,44	0,44
24,22	0,44	0,44
24,24	0,44	0,44
24,27	0,44	0,44
24,29	0,44	0,44
24,32	0,43	0,44
24,34	0,44	0,44
24,37	0,43	0,44
24,39	0,44	0,44
24,42	0,42	0,44
24,44	0,43	0,44
24,46	0,44	0,44
24,49	0,44	0,44
24,51	0,44	0,44
24,54	0,45	0,44
24,56	0,44	0,44
24,59	0,45	0,44
24,61	0,45	0,44
24,63	0,43	0,44
24,66	0,44	0,44
24,68	0,43	0,44
24,71	0,43	0,44
24,73	0,44	0,44
24,76	0,45	0,44
24,78	0,44	0,44
24,81	0,44	0,44
24,83	0,44	0,44
24,85	0,46	0,45
24,88	0,46	0,45
24,90	0,45	0,45
24,93	0,44	0,45
24,95	0,44	0,45
24,98	0,44	0,45
25,00	0,44	0,46
25,03	0,44	0,46
25,05	0,44	0,46
25,07	0,45	0,46
25,10	0,46	0,46
25,12	0,47	0,47
25,15	0,46	0,47
25,17	0,47	0,47
25,20	0,48	0,47
25,22	0,48	0,47
25,25	0,49	0,48
25,27	0,48	0,48
25,29	0,48	0,48
25,32	0,49	0,49
25,34	0,50	0,49
25,37	0,49	0,49
25,39	0,49	0,50
25,42	0,49	0,50
25,44	0,50	0,50
25,47	0,51	0,51
25,49	0,51	0,51
25,51	0,52	0,51
25,54	0,52	0,52
25,56	0,53	0,52
25,59	0,53	0,52
25,61	0,53	0,53
25,64	0,53	0,53
25,66	0,53	0,53
25,68	0,53	0,54
25,71	0,53	0,54
25,73	0,53	0,55
25,76	0,54	0,55
25,78	0,54	0,56
25,81	0,54	0,56
25,83	0,55	0,56
25,86	0,57	0,57
25,88	0,56	0,57
25,90	0,57	0,58
25,93	0,59	0,58
25,95	0,60	0,59
25,98	0,60	0,59
26,00	0,61	0,60
26,03	0,60	0,60
26,05	0,62	0,61
26,08	0,61	0,61
26,10	0,61	0,62
26,12	0,61	0,62
26,15	0,61	0,63
26,17	0,62	0,63
26,20	0,64	0,63
26,22	0,65	0,64
26,25	0,66	0,64
26,27	0,66	0,65
26,30	0,66	0,65
26,32	0,67	0,65
26,34	0,68	0,66
26,37	0,66	0,66
26,39	0,66	0,66
26,42	0,66	0,67
26,44	0,68	0,67
26,47	0,68	0,68
26,49	0,68	0,68
26,52	0,69	0,69
26,54	0,68	0,69
26,56	0,69	0,69
26,59	0,69	0,69
26,61	0,68	0,70
26,64	0,68	0,70
26,66	0,70	0,70
26,69	0,70	0,70
26,71	0,72	0,71
26,73	0,72	0,71
26,76	0,73	0,71
26,78	0,74	0,71
26,81	0,75	0,71
26,83	0,74	0,71
26,86	0,74	0,71
26,88	0,72	0,72
26,91	0,72	0,72
26,93	0,72	0,72
26,95	0,72	0,72
26,98	0,72	0,72
27,00	0,72	0,72
27,03	0,72	0,72
27,05	0,73	0,72
27,08	0,73	0,71
27,10	0,72	0,71
27,13	0,71	0,71
27,15	0,71	0,71
27,17	0,70	0,71
27,20	0,71	0,70
27,22	0,71	0,70
27,25	0,70	0,70
27,27	0,70	0,70
27,30	0,70	0,70
27,32	0,70	0,69
27,35	0,68	0,69
27,37	0,68	0,69
27,39	0,68	0,68
27,42	0,68	0,68
27,44	0,69	0,68
27,47	0,68	0,67
27,49	0,68	0,67
27,52	0,69	0,67
27,54	0,69	0,66
27,57	0,68	0,66
27,59	0,67	0,66
27,61	0,65	0,65
27,64	0,64	0,65
27,66	0,64	0,64
27,69	0,63	0,64
27,71	0,63	0,64
27,74	0,62	0,63
27,76	0,62	0,63
27,78	0,64	0,63
27,81	0,63	0,62
27,83	0,62	0,62
27,86	0,62	0,61
27,88	0,60	0,61
27,91	0,60	0,60
27,93	0,59	0,60
27,96	0,58	0,59
27,98	0,59	0,59
28,00	0,59	0,59
28,03	0,58	0,58
28,05	0,59	0,58
28,08	0,57	0,57
28,10	0,57	0,57
28,13	0,56	0,57
28,15	0,56	0,56
28,18	0,56	0,56
28,20	0,55	0,55
28,22	0,54	0,55
28,25	0,55	0,55
